title,sourceName,platform,contentType,category,subCategory,startAt,endAt,isFree,discountPercent,city,district,lat,lng,originalUrl,affiliateUrl,tags,description
"Epic Haftalık Ücretsiz Oyun","Epic Games","epic","game","gaming","free","2026-02-17","2026-02-24",true,100,,,,,"https://store.epicgames.com/free","",epic;free;pc,"Bu hafta Epic Games Store'da ücretsiz oyun"
"Steam Hafta Ortası İndirimi","Steam","steam","game","gaming","sale","2026-02-17","2026-02-23",false,60,,,,,"https://store.steampowered.com/sale/midweek","",steam;sale;pc,"Steam orta hafta kampanyası %60'a varan indirim"
"GeForce NOW Promo","Nvidia","geforce","game","gaming","cloud","2026-02-17","2026-03-01",false,30,,,,,"https://www.nvidia.com/en-us/geforce-now/","",geforce;cloud;promo,"GeForce NOW aboneliklerinde %30 indirim"
"Netflix 1 Ay Ücretsiz","Netflix","ott","ott","entertainment","video","2026-02-17","2026-03-17",true,100,,,,,"https://www.netflix.com/tr/","",netflix;ott;trial,"Yeni kullanıcılara 1 ay ücretsiz deneme"
"Spotify Öğrenci %50","Spotify","music","music","entertainment","music","2026-02-17","2026-06-17",false,50,,,,,"https://www.spotify.com/tr/student/","",spotify;student;music,"Öğrencilere Spotify Premium %50 indirim"
"Türk Telekom Uçak Bileti İndirimi","Turk Telekom","mobile","travel","travel","flight","2025-10-17","2026-07-01",false,,,"","","","https://bireysel.turktelekom.com.tr/bi-dunya-firsat/yolcu360-ucak-bileti-kampanyasi","",yolcu360;ucak;300tl;600tl,"Yolcu360 üzerinden yurt içi gidiş dönüş biletlerde 300 TL, yurt dışı gidiş dönüş biletlerde 600 TL indirim. SMS/TT Uygulaması ile kod alıp kullan."
"Akbank Biletcom Uçak İndirimi","Akbank","web","travel","travel","flight","2026-02-20","2026-03-31",false,,,"","","","https://www.akbank.com/kampanyalar/biletcom-kampanyasi","",akbank;biletcom;ucak;150tl;300tl,"Akbank kartlarıyla Bilet.com üzerinden yurt içi uçak biletlerinde 150 TL, yurt dışı uçuşlarda 300 TL indirim."
"Zara Sezon Sonu İndirimi","Zara","web","shopping","fashion","apparel","2026-02-20","2026-03-31",false,50,,,,,"https://www.zara.com/tr/","",zara;giyim;indirim,"Zara online mağazada seçili ürünlerde sezon sonu %50’ye varan indirim."
"Bershka Fırsatları","Bershka","web","shopping","fashion","apparel","2026-02-20","2026-03-31",false,50,,,,,"https://www.bershka.com/tr/","",bershka;giyim;indirim,"Bershka’da seçili koleksiyonda %50’ye varan indirim."
"H&M Özel İndirim","H&M","web","shopping","fashion","apparel","2026-02-20","2026-03-31",false,50,,,,,"https://www2.hm.com/tr_tr/index.html","",hm;giyim;indirim,"H&M online mağazada seçili ürünlerde %50’ye varan indirim."
"Collins Jeans Kampanyası","Collins","web","shopping","fashion","apparel","2026-02-20","2026-03-31",false,40,,,,,"https://www.collins.com.tr/","",collins;jeans;indirim,"Collins’te jean ve casual parçalarda %40’a varan indirim."
"Beymen Sezon İndirimi","Beymen","web","shopping","fashion","luxury","2026-02-20","2026-03-31",false,40,,,,,"https://www.beymen.com/","",beymen;luxury;indirim,"Beymen’de seçili markalarda %40’a varan sezon indirimi."
